,uri,rank,date
300,1Em1UrtHDb1UfJJV8tEO3v,24.0,1961-02-11 00:00:00
301,7pKq3Yz0hlv9wqoGkkCmSx,16.0,1961-02-11 00:00:00
302,4ODCxzYw6FudmgDneqAHQQ,6.0,1961-02-25 00:00:00
303,2cloAUKqp6uQ1xcSl3HYDe,8.0,1961-02-11 00:00:00
304,3kvyaShezE8dMWfbL44TdI,24.0,1961-01-28 00:00:00
305,7axj2soLPxuhxJEYaUoYEg,20.0,1961-02-11 00:00:00
306,203kxKjlLnIYYzHjllOfpG,32.0,1961-01-28 00:00:00
307,789lq0oHhOa4pHh2y9rjkN,3.0,1961-03-18 00:00:00
308,0aYthEZhdcr2xMAJzh4NEE,3.0,1961-03-04 00:00:00
309,6N3LlP0e7sWkNaTw8aXEnX,4.0,1961-03-25 00:00:00
310,62jIsjKp5isGJhgWl5CELP,26.0,1961-03-18 00:00:00
311,6eQCOABK6G41PBTaHXeR4Y,1.0,1961-03-18 00:00:00
312,2heONlMSFctAdyHQvwUNsk,18.0,1961-03-04 00:00:00
313,3UCmuRdeTriWgOZMEJsfqZ,10.0,1961-03-18 00:00:00
314,3dQJgxzfpN9sEDb0EPduCi,28.0,1961-02-11 00:00:00
315,7rMrKRe0yuE8ehB0w43wd7,37.0,1961-02-04 00:00:00
316,5Zt2tF219dfVI32VAORqXH,11.0,1961-03-11 00:00:00
317,2HWDwOKQtAV0IH7BhmzVmC,31.0,1961-02-18 00:00:00
318,70uJexhtf1S18Gbc1J4tWE,40.0,1961-02-04 00:00:00
319,4j1GaeezyPPGFBI8Lg34rR,15.0,1961-02-25 00:00:00
320,2pw39HKPTdWMXbyMifMeBg,6.0,1961-03-18 00:00:00
321,365aSqfttyHcCsUZyJqVlg,3.0,1961-04-15 00:00:00
322,3Kdi5kCw5ceFYcKabhjVUO,33.0,1961-02-11 00:00:00
323,7qljXH2LAO8xASUqbyoP9F,21.0,1961-03-04 00:00:00
324,0ySFGyhXm9OYNigZLEDlkH,21.0,1961-02-25 00:00:00
325,1H2JghhqP8QX178RkjFvjD,24.0,1961-03-04 00:00:00
326,1xFTK0nWCUHiAhNA7w9aei,3.0,1961-03-25 00:00:00
327,1jboH3OwSTuiEZpPdoGyPS,12.0,1961-03-11 00:00:00
328,7JspbxCf3yAJ5kTX853ZFM,28.0,1961-03-11 00:00:00
329,5cGZE6yM5i0ZlWut6wawsN,8.0,1961-03-25 00:00:00
330,4WoculcH7oNw0TYHVL9sut,33.0,1961-03-04 00:00:00
331,6IGhesxtBqyQSUHn9SGgcV,1.0,1961-04-01 00:00:00
332,5QwqkFlaUojzrics3ha0Rd,17.0,1961-03-25 00:00:00
333,4PaJjiUMbs5B28TCQplLmH,2.0,1961-04-15 00:00:00
334,00rqZJpGTCfDpv5ISRzEZy,29.0,1961-02-25 00:00:00
335,7aUntLt00Tgpawu1zrQvKd,14.0,1961-04-01 00:00:00
336,3NUXLtK8UGdD8TvZ12b4dD,7.0,1961-04-01 00:00:00
337,1x0jeewRxIfiPOZeG4mU5i,10.0,1961-04-01 00:00:00
338,17ziKWQ6z6LLtMFnsHhDee,36.0,1961-03-04 00:00:00
339,09cH7jgu7JtjvmUHmtW6xy,11.0,1961-04-08 00:00:00
340,216MJwr3jtriO8Y8c6zal6,32.0,1961-03-18 00:00:00
341,2eYyzqPX6VQdBIZnqB4g4h,38.0,1961-03-04 00:00:00
